# Residuals         
# Time              	p_rgh               	k                   	omega               
222.1101            	3.132891578512e-04	8.323302254916e-06	4.299129168045e-06
222.1254            	3.130072463485e-04	8.498754076739e-06	4.383049077432e-06
222.1407            	3.097190286521e-04	8.428184732911e-06	4.356819524754e-06
222.156             	3.051377370117e-04	8.613741274924e-06	4.386865286391e-06
222.1713            	3.037491269063e-04	8.379877975065e-06	4.337481487592e-06
222.1866            	3.056365017811e-04	8.369526923797e-06	4.245447744705e-06
222.2019            	3.057574064959e-04	8.112313107251e-06	4.183021169565e-06
222.2172            	3.069751363489e-04	8.078479632871e-06	4.162959421538e-06
222.2325            	3.076559845653e-04	7.962676632676e-06	4.154069192254e-06
222.2478            	3.091428518564e-04	7.972429541869e-06	4.104644764631e-06
222.2631            	3.088907105681e-04	7.959022205027e-06	4.249727822835e-06
222.2784            	3.105810043446e-04	8.062585996023e-06	4.176113265719e-06
222.2937            	3.065090503104e-04	8.152466245724e-06	4.243908037661e-06
222.309             	3.104297248798e-04	8.258611926817e-06	4.232591231616e-06
222.3243            	3.087074730623e-04	8.325710143449e-06	4.203999938968e-06
222.3396            	3.056511488976e-04	8.487760766123e-06	4.225189101637e-06
222.3549            	3.075540008406e-04	8.513395220136e-06	4.257726425362e-06
222.3702            	3.067050504490e-04	8.822961827541e-06	4.228830869224e-06
222.3855            	3.052182056126e-04	8.611324237664e-06	4.222855979201e-06
222.4008            	3.000055378377e-04	8.672265036244e-06	4.231922064998e-06
222.4161            	2.984484346230e-04	8.512196125620e-06	4.176437226266e-06
222.4314            	3.005359832335e-04	8.315907207150e-06	4.120753517773e-06
222.4467            	3.020310141419e-04	8.273157001966e-06	4.106938855454e-06
222.462             	3.050823992149e-04	8.055507879939e-06	4.138635709529e-06
222.4773            	3.037198115700e-04	8.117941263190e-06	4.118620566816e-06
222.4926            	3.002731010859e-04	8.070794306234e-06	4.122340366283e-06
222.5079            	3.027196046469e-04	8.217506688490e-06	4.088696867551e-06
222.5232            	3.052624539798e-04	8.127691345323e-06	4.066788151924e-06
222.5385            	3.009716325201e-04	8.259915096875e-06	4.099607680360e-06
222.5538            	3.040084973384e-04	8.180254660593e-06	4.101256782957e-06
222.5691            	2.985330370965e-04	8.307449291949e-06	4.173889878622e-06
222.5844            	2.982380466263e-04	8.256968126831e-06	4.144582514571e-06
222.5997            	2.972555735297e-04	8.282012432446e-06	4.168592834589e-06
222.615             	2.995760994023e-04	8.167953709255e-06	4.201547795947e-06
222.6303            	2.964038047840e-04	8.171796222046e-06	4.205520584116e-06
222.6456            	2.998803918586e-04	8.047461470833e-06	4.195483946071e-06
