# Motion State      
# Angle Units       : [deg]
# Angular Velocity Units: [rad/s]
# Time              	Centre of rotation	Orientation	Linear velocity	Angular velocity
0.51337             	(-1.434842295358e-01 -1.454850158299e-06 -2.071633560923e-01)	(8.039046642222e-04 -4.366266672596e+00 1.698542611459e-04)	(3.006179249449e-02 6.858356111026e-06 -8.632073472027e-01)	(7.089061203215e-06 -6.372922155080e-01 -5.668629737346e-06)
0.52337             	(-1.430670474894e-01 -1.372179394744e-06 -2.157829613428e-01)	(7.964685040186e-04 -3.989767462678e+00 1.725231802035e-04)	(5.337461678666e-02 9.675796599914e-06 -8.607137028819e-01)	(1.487362959345e-05 -6.769379534082e-01 -5.541001406012e-06)
0.53337             	(-1.424158416469e-01 -1.264063195065e-06 -2.243590471225e-01)	(7.846656967057e-04 -3.591446408139e+00 1.748172738463e-04)	(7.686655172018e-02 1.194744333593e-05 -8.545034530662e-01)	(2.202162033014e-05 -7.134648230573e-01 -5.193897728601e-06)
0.54337             	(-1.415295413450e-01 -1.131382973938e-06 -2.328541498325e-01)	(7.688101361012e-04 -3.173146503174e+00 1.768374163894e-04)	(1.003935086621e-01 1.458860088943e-05 -8.445170889430e-01)	(2.874851401226e-05 -7.466772975865e-01 -5.127161335073e-06)
0.55337             	(-1.404085548550e-01 -9.773985112347e-07 -2.412304173029e-01)	(7.487985899723e-04 -2.736813425746e+00 1.784964846892e-04)	(1.238037893208e-01 1.620829165125e-05 -8.307364051243e-01)	(3.628690664807e-05 -7.764124699208e-01 -4.269616299096e-06)
0.56337             	(-1.390549798185e-01 -8.049472181371e-07 -2.494499502926e-01)	(7.242160277327e-04 -2.284479483282e+00 1.795552551733e-04)	(1.469112179933e-01 1.828196696826e-05 -8.131701928141e-01)	(4.450291803140e-05 -8.025308532426e-01 -3.189942353044e-06)
0.57337             	(-1.374728322271e-01 -6.026149697938e-07 -2.574751391575e-01)	(6.949540084453e-04 -1.818247023757e+00 1.802600808331e-04)	(1.695183002856e-01 2.218448270039e-05 -7.918675801686e-01)	(5.246441479745e-05 -8.249274467451e-01 -2.931772026043e-06)
0.58337             	(-1.356680353361e-01 -3.549137443608e-07 -2.652690961942e-01)	(6.609609026617e-04 -1.340267587688e+00 1.810958337811e-04)	(1.914410779080e-01 2.735576238622e-05 -7.669238271774e-01)	(6.088876535146e-05 -8.435355368675e-01 -3.260757419231e-06)
0.59337             	(-1.336484167379e-01 -4.418030170805e-08 -2.727960375700e-01)	(6.220542848715e-04 -8.527232844049e-01 1.826329572624e-04)	(2.124826417284e-01 3.479092614432e-05 -7.384644479784e-01)	(6.949986847361e-05 -8.583151318814e-01 -4.708282456716e-06)
0.60337             	(-1.314237714217e-01 3.433912420718e-07 -2.800216507943e-01)	(5.783084201787e-04 -3.578093796788e-01 1.853601084474e-04)	(2.324464215137e-01 4.272338261164e-05 -7.066581968785e-01)	(7.765220479054e-05 -8.692602988736e-01 -6.428039298242e-06)
0.61337             	(-1.290058380503e-01 8.072234877959e-07 -2.869134424362e-01)	(5.301227704633e-04 1.422827281079e-01 1.893709450738e-04)	(2.511402527774e-01 5.004306653319e-05 -6.717001315124e-01)	(8.484376976559e-05 -8.763904704898e-01 -7.891195940590e-06)
0.62337             	(-1.264082295359e-01 1.341256099112e-06 -2.934410368949e-01)	(4.779253679176e-04 6.453811188450e-01 1.946057150062e-04)	(2.683814500906e-01 5.676345572995e-05 -6.338187602101e-01)	(9.147458700856e-05 -8.797542060798e-01 -9.130130485388e-06)
