# Residuals         
# Time              	p                   	k                   	omega               
21.88337            	3.148082692653e-02	5.034866718240e-07	9.520029819756e-07
21.89337            	3.462945970405e-02	4.997256907272e-07	9.495039648562e-07
21.90337            	3.830488697216e-02	4.959956667729e-07	9.473024481279e-07
21.91337            	4.264418262168e-02	4.921548461287e-07	9.453514202806e-07
21.92337            	4.757016430202e-02	4.883630415898e-07	9.436865783129e-07
21.93337            	5.333623708940e-02	4.847322562879e-07	9.422571317056e-07
21.94337            	5.988329033208e-02	4.813754278463e-07	9.410284171501e-07
21.95337            	5.548119192547e-02	4.782000035313e-07	9.400365350782e-07
21.96337            	5.112329427535e-02	4.753049890559e-07	9.393088459004e-07
21.97337            	4.774958973781e-02	4.729347424882e-07	9.388816697821e-07
21.98337            	4.525834893027e-02	4.714906785490e-07	9.388234418988e-07
21.99337            	4.346013297215e-02	4.709354997557e-07	9.391046797765e-07
22.00337            	4.226614193389e-02	4.708488801523e-07	9.396817030715e-07
22.01337            	4.152675779506e-02	4.718004253593e-07	9.406483305057e-07
22.02337            	4.128134483303e-02	4.744068765993e-07	9.421058334252e-07
22.03337            	4.157981794489e-02	4.785941116145e-07	9.440901815488e-07
22.04337            	4.400961705677e-02	4.838920328909e-07	9.465049794942e-07
22.05337            	4.576746922070e-02	4.900316581404e-07	9.492074963607e-07
22.06337            	4.695227551407e-02	4.965855158066e-07	9.521576031376e-07
22.07337            	4.589088131121e-02	5.034928898641e-07	9.552471291442e-07
22.08337            	4.481186012591e-02	5.107338823289e-07	9.584492078990e-07
22.09337            	4.445446648087e-02	5.182162498585e-07	9.616550165428e-07
22.10337            	4.468045123586e-02	5.257038981354e-07	9.647793436009e-07
22.11337            	4.550266596412e-02	5.330916025028e-07	9.677671740164e-07
22.12337            	4.690560513116e-02	5.400978660005e-07	9.705526781256e-07
22.13337            	4.839179031647e-02	5.465527142890e-07	9.730770134180e-07
22.14337            	5.015251473049e-02	5.523844490903e-07	9.752910566507e-07
22.15337            	5.258813033079e-02	5.576665935804e-07	9.772489708181e-07
22.16337            	4.879291321112e-02	5.622910521515e-07	9.789200765117e-07
22.17337            	4.407137386944e-02	5.663322178188e-07	9.802388965983e-07
22.18337            	4.008972295856e-02	5.695013274781e-07	9.812098425097e-07
22.19337            	3.648717363217e-02	5.718042026234e-07	9.818673556660e-07
22.20337            	3.347647783565e-02	5.734368656181e-07	9.822140709011e-07
22.21337            	3.072522653667e-02	5.747537231405e-07	9.822855022782e-07
22.22337            	2.820030658699e-02	5.754493003037e-07	9.822695746580e-07
22.23337            	2.588067009525e-02	5.759846380454e-07	9.820808795624e-07
22.24337            	2.390202922685e-02	5.759903758912e-07	9.816175157553e-07
22.25337            	2.199432658366e-02	5.754725148442e-07	9.809392373222e-07
22.26337            	2.027718717299e-02	5.744481021723e-07	9.800131400261e-07
22.27337            	1.865209726413e-02	5.726844887026e-07	9.788397710359e-07
22.28337            	1.730361114840e-02	5.703282799321e-07	9.775460750301e-07
22.29337            	1.713230839132e-02	5.673105385763e-07	9.760103124382e-07
22.30337            	1.778989583738e-02	5.639911309766e-07	9.743200277663e-07
22.31337            	1.875295699992e-02	5.604444468972e-07	9.723867345154e-07
22.32337            	1.994940696360e-02	5.566425478443e-07	9.701146401522e-07
22.33337            	2.134975054442e-02	5.525943993282e-07	9.676884034762e-07
22.34337            	2.322919256464e-02	5.483220279900e-07	9.651020428370e-07
22.35337            	2.548669213135e-02	5.436713526289e-07	9.622711585026e-07
22.36337            	2.802313720242e-02	5.387055333672e-07	9.593053463009e-07
22.37337            	3.085508084477e-02	5.333815841878e-07	9.561763408918e-07
22.38337            	3.381120234069e-02	5.277671738142e-07	9.528791572414e-07
22.39337            	3.701538416663e-02	5.217521138056e-07	9.494468060626e-07
22.40337            	4.057199145488e-02	5.154101357579e-07	9.459624792772e-07
22.41337            	4.437895016624e-02	5.087183702104e-07	9.424437203079e-07
22.42337            	4.828221718910e-02	5.018182699198e-07	9.389215690540e-07
22.43337            	5.231755175635e-02	4.947206356064e-07	9.354110302084e-07
22.44337            	5.624175162039e-02	4.875185681083e-07	9.319294500419e-07
22.45337            	5.984426938686e-02	4.804337315226e-07	9.284771509002e-07
22.46337            	6.297215336082e-02	4.738214860348e-07	9.250679406974e-07
22.47337            	6.541338169973e-02	4.680968092810e-07	9.217932621415e-07
22.48337            	6.717647472666e-02	4.638771906690e-07	9.188120387089e-07
22.49337            	6.829684511943e-02	4.617243532148e-07	9.162497561468e-07
22.50337            	6.867099426427e-02	4.612881363722e-07	9.141696968814e-07
22.51337            	6.793839104018e-02	4.631135442631e-07	9.127618733103e-07
22.52337            	6.661158285749e-02	4.675928676594e-07	9.121684463592e-07
22.53337            	6.581726033343e-02	4.734330516711e-07	9.120874800787e-07
22.54337            	6.696694874143e-02	4.798351880643e-07	9.123277998630e-07
22.55337            	6.365227647331e-02	4.865826626811e-07	9.128009447385e-07
22.56337            	5.903778518458e-02	4.933978459960e-07	9.134352145173e-07
22.57337            	5.259365988835e-02	5.001670512013e-07	9.142143924478e-07
22.58337            	4.736855195217e-02	5.067474240464e-07	9.151216572490e-07
22.59337            	4.297507459056e-02	5.129610825098e-07	9.161224061867e-07
22.60337            	3.927177325451e-02	5.186675596450e-07	9.171600839196e-07
22.61337            	3.600787725653e-02	5.239146868839e-07	9.181798476843e-07
22.62337            	3.308513887963e-02	5.285913056155e-07	9.191225459983e-07
22.63337            	3.052931919092e-02	5.325119239514e-07	9.199834738417e-07
22.64337            	2.825984689709e-02	5.356741579132e-07	9.206776815566e-07
22.65337            	2.624042746276e-02	5.380588080458e-07	9.211471805902e-07
22.66337            	2.445505240915e-02	5.396131549012e-07	9.213697396409e-07
22.67337            	2.277889022637e-02	5.403679364236e-07	9.213297959536e-07
22.68337            	2.134502651430e-02	5.403381301535e-07	9.209997182702e-07
22.69337            	2.006880253550e-02	5.394956195132e-07	9.203596219184e-07
22.70337            	1.901095290814e-02	5.378576109814e-07	9.194025240686e-07
22.71337            	1.810877991374e-02	5.354392002404e-07	9.181710465587e-07
22.72337            	1.739242638005e-02	5.324312628622e-07	9.166605398451e-07
22.73337            	1.671975596954e-02	5.289175486550e-07	9.148729856568e-07
22.74337            	1.608273097282e-02	5.249573829564e-07	9.128606450224e-07
22.75337            	1.560619749187e-02	5.205923614234e-07	9.105999253681e-07
22.76337            	1.524041155465e-02	5.160005033174e-07	9.080607984653e-07
22.77337            	1.528103477287e-02	5.112364105043e-07	9.052588342538e-07
22.78337            	1.584111711561e-02	5.065454008113e-07	9.021700288962e-07
22.79337            	1.672092858631e-02	5.019714605451e-07	8.988196108811e-07
22.80337            	1.783183883955e-02	4.975116261787e-07	8.952658187362e-07
22.81337            	1.920043343472e-02	4.930343026021e-07	8.915919222635e-07
22.82337            	2.080561060676e-02	4.885576549449e-07	8.878949168004e-07
22.83337            	2.267892991403e-02	4.841515373430e-07	8.842291663452e-07
22.84337            	2.474218096697e-02	4.798154760781e-07	8.806495022884e-07
22.85337            	2.698793074684e-02	4.756697909384e-07	8.772125308025e-07
22.86337            	2.952527882369e-02	4.717107031150e-07	8.740101341722e-07
22.87337            	3.256638422203e-02	4.678607940307e-07	8.710531225374e-07
22.88337            	3.599017888286e-02	4.640556807848e-07	8.683276938654e-07
22.89337            	4.008090587653e-02	4.603234709877e-07	8.658432848503e-07
22.90337            	4.494994492219e-02	4.566744650823e-07	8.635779304895e-07
22.91337            	5.062364130638e-02	4.532513200941e-07	8.615866513563e-07
22.92337            	5.737885514050e-02	4.499273607734e-07	8.598654796132e-07
22.93337            	5.527682562891e-02	4.467708268766e-07	8.583876024520e-07
22.94337            	5.034615874777e-02	4.438662547205e-07	8.572543155452e-07
22.95337            	4.676504297409e-02	4.413471055268e-07	8.565032855508e-07
22.96337            	4.410888818402e-02	4.393401829419e-07	8.561310019591e-07
22.97337            	4.214793166562e-02	4.381527647420e-07	8.562141946359e-07
22.98337            	4.070595421355e-02	4.379936497855e-07	8.568080962926e-07
22.99337            	3.974973344008e-02	4.382631685740e-07	8.578309313712e-07
23.00337            	3.908462537618e-02	4.394403201069e-07	8.593216298733e-07
23.01337            	3.892491564198e-02	4.420776895140e-07	8.613357735779e-07
23.02337            	3.914162103393e-02	4.462541916049e-07	8.638653185019e-07
23.03337            	4.070821374720e-02	4.516590495940e-07	8.667170721382e-07
23.04337            	4.361037675551e-02	4.578458465200e-07	8.697577410781e-07
23.05337            	4.402121241073e-02	4.645008995049e-07	8.729068946571e-07
23.06337            	4.420652876449e-02	4.712982078841e-07	8.760594449493e-07
23.07337            	4.302088274771e-02	4.783822961088e-07	8.791576776803e-07
23.08337            	4.247162762348e-02	4.855527712680e-07	8.821290353557e-07
23.09337            	4.257524003284e-02	4.926861416294e-07	8.849165626315e-07
23.10337            	4.319630276276e-02	4.998396876985e-07	8.875465465452e-07
23.11337            	4.450344994738e-02	5.067524192819e-07	8.900016792868e-07
23.12337            	4.580700228331e-02	5.130590374071e-07	8.922577924970e-07
23.13337            	4.738058285382e-02	5.185543869950e-07	8.942727556349e-07
23.14337            	4.947531737107e-02	5.236944616199e-07	8.960244373468e-07
23.15337            	5.182356009176e-02	5.281398864475e-07	8.975295072225e-07
23.16337            	4.657708064029e-02	5.319224284810e-07	8.987281031648e-07
23.17337            	4.212941073132e-02	5.347241954697e-07	8.996265034194e-07
23.18337            	3.823441618086e-02	5.365583988736e-07	9.002901646790e-07
23.19337            	3.494795865246e-02	5.377488981672e-07	9.007245178258e-07
23.20337            	3.201365001085e-02	5.384478114033e-07	9.008931251219e-07
23.21337            	2.931380041578e-02	5.384683406657e-07	9.009436736857e-07
23.22337            	2.675164638477e-02	5.384108966763e-07	9.008228366319e-07
23.23337            	2.448890627450e-02	5.380276323003e-07	9.003933533849e-07
23.24337            	2.251265841606e-02	5.370504639002e-07	8.997218143005e-07
23.25337            	2.071888650156e-02	5.355764662244e-07	8.987749697834e-07
23.26337            	1.898215939852e-02	5.333558029816e-07	8.974784386909e-07
23.27337            	1.742741253358e-02	5.304681919381e-07	8.959159639258e-07
23.28337            	1.683799476631e-02	5.269099199659e-07	8.939939170628e-07
23.29337            	1.730729919650e-02	5.232618119372e-07	8.917580981275e-07
23.30337            	1.815833592562e-02	5.194630096957e-07	8.892458455815e-07
23.31337            	1.934191446045e-02	5.154232970310e-07	8.863706042324e-07
23.32337            	2.067744010118e-02	5.113364137693e-07	8.832924814204e-07
23.33337            	2.247412037987e-02	5.069796726877e-07	8.801008334037e-07
23.34337            	2.463307038877e-02	5.022597442056e-07	8.766813973677e-07
23.35337            	2.703988411566e-02	4.972342573395e-07	8.731097385747e-07
23.36337            	2.981288557765e-02	4.918541211109e-07	8.694441403533e-07
23.37337            	3.288740396982e-02	4.861019470666e-07	8.656556408888e-07
23.38337            	3.617925995971e-02	4.800315261708e-07	8.617468771301e-07
23.39337            	3.966618241928e-02	4.736774322152e-07	8.577857388401e-07
23.40337            	4.352421943458e-02	4.670363870464e-07	8.537880984703e-07
23.41337            	4.755710646010e-02	4.602430534086e-07	8.497820936091e-07
23.42337            	5.171020232595e-02	4.532829233048e-07	8.458114736690e-07
23.43337            	5.585726133750e-02	4.462879043203e-07	8.419148438861e-07
23.44337            	5.983474695137e-02	4.393073718026e-07	8.381318717172e-07
23.45337            	6.342340537124e-02	4.325698076826e-07	8.345253051764e-07
23.46337            	6.636954645135e-02	4.266486698883e-07	8.311964192255e-07
23.47337            	6.870535707481e-02	4.220924722496e-07	8.282884241995e-07
23.48337            	7.030488938985e-02	4.195928052880e-07	8.259192739555e-07
23.49337            	7.103453935215e-02	4.191670349932e-07	8.241374906114e-07
23.50337            	7.038089539985e-02	4.206837830783e-07	8.231282076143e-07
23.51337            	6.902928230269e-02	4.250627358315e-07	8.231810819526e-07
23.52337            	6.805560057520e-02	4.309314684007e-07	8.238864901986e-07
23.53337            	6.919928425338e-02	4.374186086141e-07	8.249371736732e-07
23.54337            	6.654127821342e-02	4.442325907348e-07	8.261916371790e-07
23.55337            	6.261414432359e-02	4.511781177349e-07	8.275516792904e-07
23.56337            	5.560223828517e-02	4.580765826590e-07	8.289585119323e-07
23.57337            	4.988420926884e-02	4.648504169076e-07	8.303733744987e-07
23.58337            	4.498745654879e-02	4.713440280363e-07	8.317482326103e-07
23.59337            	4.098233708469e-02	4.774276055656e-07	8.330610132074e-07
