# Residuals         
# Time              	p_rgh               	k                   	omega               
523.3405824006      	4.549412160546e-05	7.429491432261e-07	7.557958447943e-08
523.3435824006      	4.551653551801e-05	7.494933379958e-07	7.450095020471e-08
523.3465824006      	4.554107817018e-05	7.450725848515e-07	7.400789602864e-08
523.3495824006      	4.559338309647e-05	7.416081058303e-07	7.351496655136e-08
523.3525824006      	4.583764815535e-05	7.519103683848e-07	7.351892522215e-08
523.3555824006      	4.582577287931e-05	7.447026704135e-07	7.422774962258e-08
523.3585824006      	4.578996946558e-05	7.321434346758e-07	7.316044199767e-08
523.3615824006      	4.574359950779e-05	7.442953749816e-07	7.286561531414e-08
523.3645824006      	4.581060643840e-05	7.559706334083e-07	7.326412717869e-08
523.3675824006      	4.555841532375e-05	7.410080161755e-07	7.324431042048e-08
523.3705824006      	4.587687055662e-05	7.320944590476e-07	7.251060000340e-08
523.3735824006      	4.581019675388e-05	7.361878953927e-07	7.300603396761e-08
523.3765824006      	4.602601911500e-05	7.493991128639e-07	7.643497651052e-08
523.3795824006      	4.583732479572e-05	7.514924219699e-07	7.471512230627e-08
523.3825824006      	4.601736063750e-05	7.357782768053e-07	7.296562711617e-08
523.3855824006      	4.604478586369e-05	7.332967331585e-07	7.274995179971e-08
523.3885824006      	4.628828661366e-05	7.522290617883e-07	7.456305796261e-08
523.3915824006      	4.639472125241e-05	7.453672504315e-07	7.543501548277e-08
523.3945824006      	4.651259242564e-05	7.340990971843e-07	7.327167399838e-08
523.3975824006      	4.618708376556e-05	7.464670930640e-07	7.227508529222e-08
523.4005824007      	4.616813691489e-05	7.435248747216e-07	7.381081677074e-08
523.4035824007      	4.654493520750e-05	7.301607535900e-07	7.345889453277e-08
523.4065824007      	4.676472054408e-05	7.431653209102e-07	7.440733065196e-08
523.4095824007      	4.660942737310e-05	7.535724197673e-07	7.456497224231e-08
523.4125824007      	4.664529542079e-05	7.466361444450e-07	7.739407727913e-08
523.4155824007      	4.685513417622e-05	7.411882295218e-07	7.522066701312e-08
523.4185824007      	4.686797408912e-05	7.376558721288e-07	7.404893361935e-08
523.4215824007      	4.715143671195e-05	7.375671400377e-07	7.505006811169e-08
523.4245824007      	4.722076420037e-05	7.467626984277e-07	7.483228309916e-08
523.4275824007      	4.724512901637e-05	7.452781284859e-07	7.420284513168e-08
523.4305824007      	4.714416322345e-05	7.408862871805e-07	7.358572188398e-08
523.4335824007      	4.709814202743e-05	7.508961968288e-07	7.504839409822e-08
523.4365824007      	4.738671346786e-05	7.505682605422e-07	7.661285117979e-08
523.4395824007      	4.727529587651e-05	7.382337986241e-07	7.642592778466e-08
523.4425824007      	4.721037467247e-05	7.463657208356e-07	7.489618172563e-08
523.4455824007      	4.715348771305e-05	7.495658965577e-07	7.515439301829e-08
523.4485824007      	4.747046385826e-05	7.400134759221e-07	7.679584344680e-08
523.4515824007      	4.732716480677e-05	7.458231261764e-07	7.544660567874e-08
523.4545824007      	4.758544643604e-05	7.498314054767e-07	7.670776215804e-08
523.4575824007      	4.743670129469e-05	7.405604283013e-07	7.595984193284e-08
523.4605824007      	4.749240026025e-05	7.391678205638e-07	7.501007864951e-08
523.4635824007      	4.755357794411e-05	7.410174599836e-07	7.522607630784e-08
523.4665824007      	4.746129626261e-05	7.388913037254e-07	7.487062028228e-08
523.4695824007      	4.729068945311e-05	7.397795536870e-07	7.538306754838e-08
523.4725824007      	4.736457937879e-05	7.459346724470e-07	7.527845913370e-08
523.4755824007      	4.712920253356e-05	7.472297644117e-07	7.492626736142e-08
523.4785824007      	4.696840065071e-05	7.414580282778e-07	7.489977863996e-08
523.4815824007      	4.688585458630e-05	7.356277550132e-07	7.552901043194e-08
523.4845824007      	4.668905836283e-05	7.366594008797e-07	7.493759597030e-08
523.4875824007      	4.631925854746e-05	7.387902337559e-07	7.459197364785e-08
523.4905824007      	4.627635447179e-05	7.359355561679e-07	7.491926779984e-08
523.4935824007      	4.631728021423e-05	7.329721276894e-07	7.499710972161e-08
523.4965824007      	4.657135288608e-05	7.369032718623e-07	7.492682506461e-08
523.4995824007      	4.655463973560e-05	7.345148428591e-07	7.520427279329e-08
523.5025824007      	4.656734980422e-05	7.293133666501e-07	7.411136765973e-08
523.5055824007      	4.655759337220e-05	7.392782748134e-07	7.405234038511e-08
523.5085824007      	4.682733608533e-05	7.378524437048e-07	7.489079895824e-08
523.5115824007      	4.714659056472e-05	7.216691985643e-07	7.456842109540e-08
523.5145824007      	4.709347795587e-05	7.306507024189e-07	7.492423832657e-08
523.5175824007      	4.735688590015e-05	7.416764644820e-07	7.627704361523e-08
