# time              
# Time              	cpu                 	clock               	cpu/step            	clock/step          
438.0390000003      	1.074786030670e+05	111875	3.699248999998e+00	4.000000000000e+00
438.0543000003      	1.074822429910e+05	111879	3.639930999998e+00	4.000000000000e+00
438.0696000003      	1.074859337010e+05	111882	3.690716999990e+00	3.000000000000e+00
438.0849000003      	1.074895597200e+05	111886	3.626027000006e+00	4.000000000000e+00
438.1002000003      	1.074932909980e+05	111890	3.731284000009e+00	4.000000000000e+00
438.1155000003      	1.074968519430e+05	111893	3.560953000007e+00	3.000000000000e+00
438.1308000003      	1.075005287820e+05	111897	3.676846000002e+00	4.000000000000e+00
438.1461000003      	1.075041002050e+05	111900	3.571430999989e+00	3.000000000000e+00
438.1614000003      	1.075077200830e+05	111904	3.619886000000e+00	4.000000000000e+00
438.1767000003      	1.075113631830e+05	111908	3.643106999996e+00	4.000000000000e+00
438.1920000003      	1.075150623640e+05	111911	3.699187000006e+00	3.000000000000e+00
438.2073000003      	1.075186574040e+05	111915	3.595048000003e+00	4.000000000000e+00
438.2226000003      	1.075222725960e+05	111919	3.615200000000e+00	4.000000000000e+00
438.2379000003      	1.075258901230e+05	111922	3.617534000005e+00	3.000000000000e+00
438.2532000003      	1.075294807220e+05	111926	3.590605999998e+00	4.000000000000e+00
438.2685000003      	1.075331236040e+05	111930	3.642889999988e+00	4.000000000000e+00
438.2838000003      	1.075367983110e+05	111933	3.674714999986e+00	3.000000000000e+00
438.2991000003      	1.075403625940e+05	111937	3.564290000009e+00	4.000000000000e+00
438.3144000003      	1.075440137010e+05	111940	3.651114000008e+00	3.000000000000e+00
438.3297000003      	1.075476297390e+05	111944	3.616045999996e+00	4.000000000000e+00
438.3450000003      	1.075513190050e+05	111948	3.689272999996e+00	4.000000000000e+00
438.3603000003      	1.075549178900e+05	111951	3.598891999995e+00	3.000000000000e+00
438.3756000003      	1.075585230130e+05	111955	3.605131000004e+00	4.000000000000e+00
438.3909000003      	1.075621703180e+05	111959	3.647312000001e+00	4.000000000000e+00
438.4062000003      	1.075657245990e+05	111962	3.554287999999e+00	3.000000000000e+00
438.4215000003      	1.075693600710e+05	111966	3.635479999997e+00	4.000000000000e+00
438.4368000003      	1.075729620660e+05	111970	3.602002000000e+00	4.000000000000e+00
